2026-07-22 23:02:25,492 | INFO | ai_data_analyst.app.services.dataset_service | Loading dataset: C:\Users\rprit\Documents\AI-Data-Analyst-Agent\backend\uploads\NETFLIX.xlsx
2026-07-22 23:02:25,492 | INFO | ai_data_analyst.app.services.dataset_loader_service | Loading dataset 'NETFLIX.xlsx'
2026-07-22 23:02:26,634 | INFO | ai_data_analyst.app.services.dataset_loader_service | Dataset 'NETFLIX.xlsx' loaded successfully. Rows=6234 Columns=12
2026-07-22 23:02:26,634 | INFO | ai_data_analyst.app.common.timing | DatasetLoaderService.load executed in 1.1423 seconds
2026-07-22 23:02:26,635 | INFO | ai_data_analyst.app.services.dataset_service | Dataset cached successfully.
2026-07-22 23:02:26,635 | INFO | ai_data_analyst.app.services.dataset_metadata_service | Generating metadata for dataset 'NETFLIX.xlsx'.
2026-07-22 23:02:26,665 | INFO | ai_data_analyst.app.services.dataset_metadata_service | Metadata generated successfully.
2026-07-22 23:02:26,665 | INFO | ai_data_analyst.app.common.timing | DatasetMetadataService.generate executed in 0.0299 seconds
2026-07-22 23:02:26,666 | INFO | ai_data_analyst.app.services.dataset_service | Dataset metadata generated.
2026-07-22 23:02:26,666 | INFO | ai_data_analyst.app.services.dataset_profile_service | Generating dataset profile.
2026-07-22 23:02:26,681 | INFO | ai_data_analyst.app.services.dataset_profile_service | Dataset profile generated successfully.
2026-07-22 23:02:26,681 | INFO | ai_data_analyst.app.common.timing | DatasetProfileService.generate executed in 0.0152 seconds
2026-07-22 23:02:26,681 | INFO | ai_data_analyst.app.services.dataset_service | Dataset profile generated.
2026-07-22 23:02:26,681 | INFO | ai_data_analyst.app.services.dataset_statistics_service | Generating dataset statistics.
2026-07-22 23:02:26,724 | INFO | ai_data_analyst.app.services.dataset_statistics_service | Dataset statistics generated successfully.
2026-07-22 23:02:26,724 | INFO | ai_data_analyst.app.common.timing | DatasetStatisticsService.generate executed in 0.0426 seconds
2026-07-22 23:02:26,724 | INFO | ai_data_analyst.app.services.dataset_service | Dataset statistics generated.
2026-07-22 23:02:26,726 | INFO | ai_data_analyst.app.services.dataset_service | Dataset metadata saved.
2026-07-22 23:02:26,727 | INFO | ai_data_analyst.app.common.timing | DatasetService.load_dataset executed in 1.2350 seconds
2026-07-22 23:02:26,727 | INFO | ai_data_analyst.app.routes.upload | Dataset uploaded successfully.
2026-07-22 23:02:26,728 | INFO | ai_data_analyst.app.common.timing | upload_dataset executed in 1.2403 seconds
